#;Player;Pos;Team;FPT;CR;GP;MIN;ST;PTS;REB;AST;STL;BLK;BA;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;TOV;PF;FD;+/-
164;D. Andjusic;G;PAR;5.1;0.0;28;13.1;3;5.0;1.2;0.6;0.3;0.1;0.1;1.5;3.6;42.0;0.7;1.8;40.0;1.3;1.4;94.7;0.2;1.0;0.6;1.1;1.6;0.0
165;S. Rodriguez;G;RMB;5.0;5.5;32;15.2;0;4.4;1.4;4.3;0.5;0.0;0.0;1.6;4.6;35.6;1.0;2.7;35.6;0.2;0.3;87.5;0.1;1.3;1.5;2.3;0.8;0.0
166;N. Topic;G;CZV;5.0;0.0;2;15.4;2;3.5;1.5;3.5;0.5;0.0;0.0;1.5;4.0;37.5;0.0;1.0;0.0;0.5;0.5;100.0;1.0;0.5;1.0;2.0;1.0;0.0
167;A. Poythress;C;EA7;5.0;0.0;30;12.9;9;5.3;2.7;0.1;0.3;0.4;0.2;2.2;3.7;59.8;0.0;0.2;20.0;0.8;1.0;79.3;1.2;1.5;0.9;2.5;1.3;0.0
168;J. Pradilla;C;VBC;5.0;0.0;31;13.6;7;3.4;3.3;0.7;0.5;0.0;0.2;1.4;2.5;57.1;0.1;0.3;30.0;0.5;0.8;58.3;1.3;2.0;0.7;1.7;0.8;0.0
169;L. Vildoza;G;PAO;4.9;5.6;28;14.9;5;5.7;1.5;1.5;0.6;0.0;0.2;2.0;5.1;38.5;1.2;3.3;36.6;0.6;0.8;76.2;0.4;1.1;1.0;0.8;0.6;0.0
170;F. Causeur;F;RMB;4.9;4.3;32;15.2;18;5.1;1.3;1.1;0.4;0.2;0.1;1.9;4.1;46.2;0.8;2.1;39.4;0.5;0.6;88.9;0.4;0.9;0.8;1.4;0.9;0.0
171;K. Walker;G;ASM;4.9;0.0;26;11.0;1;4.4;1.4;1.1;0.4;0.0;0.2;1.4;3.7;38.9;0.8;2.1;36.4;0.8;1.0;77.8;0.3;1.1;0.6;0.9;1.3;0.0
172;J. Smart;G;CZV;4.9;0.0;12;17.5;3;7.2;2.0;1.3;0.3;0.2;0.3;2.6;7.1;36.5;0.7;3.8;17.4;1.3;1.3;100.0;0.4;1.6;1.3;1.3;1.2;0.0
173;E. Osmani;F;EFS;4.8;0.0;23;13.4;16;4.4;2.6;0.6;0.6;0.1;0.2;1.7;3.9;43.8;0.6;1.7;34.2;0.4;0.4;100.0;0.7;1.9;0.5;1.7;0.7;0.0
174;E. Jackson;G;ASV;4.8;0.0;31;15.4;11;5.3;1.1;1.0;0.4;0.0;0.1;1.9;3.7;51.7;0.5;1.5;35.4;0.9;1.1;81.8;0.3;0.9;1.0;1.6;1.4;0.0
175;A. Cleveland;F;MTA;4.8;0.0;39;14.2;4;5.4;1.7;0.7;0.9;0.5;0.2;1.9;4.3;45.5;0.4;1.5;27.1;1.1;1.6;70.5;1.0;0.8;0.5;2.5;1.2;0.0
176;M. Delow;G;BER;4.7;0.0;34;16.9;8;5.1;2.3;2.3;0.8;0.1;0.2;1.9;4.8;38.9;0.9;2.7;31.5;0.5;0.7;78.3;0.8;1.4;1.7;2.2;1.2;0.0
177;O. Dobric;G;VIR;4.7;0.0;28;13.4;6;4.7;1.6;0.6;0.5;0.0;0.1;1.9;3.7;52.4;0.7;1.8;40.8;0.1;0.2;66.7;0.3;1.3;0.4;1.3;0.6;0.0
178;T. Dimsa;G;ZAL;4.6;0.0;33;17.9;4;6.4;1.5;1.7;0.4;0.1;0.3;2.4;5.7;42.0;1.1;2.9;38.1;0.5;0.7;68.2;0.5;1.0;1.0;2.1;1.1;0.0
179;E. Sumner;G;ZAL;4.6;0.0;23;13.4;7;6.9;1.1;1.8;0.8;0.1;0.3;2.3;5.3;43.8;1.0;2.4;39.3;1.3;1.6;81.1;0.1;1.0;2.0;2.2;1.3;0.0
180;A. Abalde;F;RMB;4.4;4.5;24;12.8;9;3.6;1.9;0.7;0.4;0.0;0.1;1.3;2.8;44.1;0.8;1.9;41.3;0.3;0.3;87.5;0.3;1.6;0.2;1.0;0.4;0.0
181;O. Da Silva;F;BAR;4.4;0.0;37;14.7;20;3.4;2.8;0.4;0.6;0.2;0.2;1.4;3.0;48.2;0.2;0.9;24.2;0.3;0.5;60.0;1.3;1.5;0.3;1.7;0.6;0.0
182;D. Cacok;C;VIR;4.3;0.0;15;9.1;1;3.2;2.3;0.5;0.3;0.1;0.1;1.3;1.9;71.4;0.0;0.0;0.0;0.5;0.8;66.7;0.6;1.7;0.7;1.7;1.0;0.0
183;G. Larentzakis;G;OLY;4.2;4.0;37;13.1;0;5.1;1.0;1.5;0.6;0.1;0.1;1.5;4.5;34.1;0.9;2.9;32.1;1.1;1.4;80.8;0.2;0.8;1.0;1.7;1.6;0.0
184;C. Kahudi;F;ASV;4.2;0.0;29;17.3;5;3.9;2.9;0.8;0.1;0.0;0.3;1.5;4.1;36.4;0.3;1.4;24.4;0.6;0.8;77.3;0.7;2.2;0.4;1.6;1.4;0.0
185;L. Sikma;F;OLY;4.1;5.6;22;11.2;4;2.7;2.7;0.5;0.4;0.2;0.2;1.0;2.1;48.9;0.1;0.3;28.6;0.5;0.9;55.0;1.3;1.4;0.5;1.6;1.1;0.0
186;M. Jaiteh;C;ASM;4.1;0.0;25;8.2;7;3.3;2.2;0.2;0.2;0.1;0.2;1.5;2.5;58.7;0.0;0.0;0.0;0.4;0.8;45.0;1.0;1.2;0.4;1.1;0.8;0.0
187;B. Baron;G;EA7;4.1;0.0;3;15.7;0;2.3;2.3;3.0;1.3;0.0;0.3;1.0;3.7;27.3;0.0;1.7;0.0;0.3;0.3;100.0;0.0;2.3;2.0;1.7;1.3;0.0
188;D. Brizuela;G;BAR;4.0;0.0;32;13.8;7;5.7;1.0;1.6;0.3;0.1;0.1;2.3;5.6;42.1;0.8;2.3;32.0;0.3;0.3;72.7;0.3;0.7;0.8;1.6;0.9;0.0
